Filename;ActivityName;Location;ReferenceProduct
01466d60-1d80-4435-a09a-808206d6bd13_e190d352-21a1-4475-9b61-2e9c9c0ddfde.spold;market for building operation, budget hotel;GLO;building operation, budget hotel
0147633f-a9c3-4a4b-a35a-ead2f7a4db33_472284bd-85de-4dd1-9bc4-56d360d0dd5d.spold;market for maize seed, at farm;GLO;maize seed, at farm
014ad6c3-2997-4490-951d-e0b2e2f7570f_90d1a4f9-d3b7-47e8-acc4-e2d692443216.spold;treatment of wastewater from liquid crystal display backlight production, capacity 1.1E10l/year;RoW;wastewater from liquid crystal display backlight production
014b85e9-7d6c-47ab-929e-b3eb15607ed6_6af79823-cba0-4b75-96eb-e7c161eed14e.spold;market for nylon 6, glass-filled;RoW;nylon 6, glass-filled
014e81fb-b59b-495b-b786-bd5de48f6733_a8c7249e-9a1a-44b3-b603-e2e2268d56f6.spold;fish canning, small fish;PE;fish canning, small fish
015064c1-cc0c-4899-9358-b3c424ec5ef1_54e33b92-508d-4799-ac3e-ea1f9d3aa239.spold;wood preservation, oscillating pressure method, organic salt, Cr-free, outdoor use, ground contact;RER;wood preservation, oscillating pressure method, organic salt, Cr-free, outdoor use, ground contact
01554b99-58cc-42e2-a370-0d98ff264c71_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;TR;electricity, low voltage
0157f228-0839-45f6-9735-4e4bb75e58a5_fd71fda7-6bc6-4020-bfd7-205ef2b560aa.spold;market for pyridazine-compound;GLO;pyridazine-compound
015f6b4e-3f0d-4d04-a494-196150cda868_283b675b-2407-49f1-bd80-a833940fee39.spold;market for printed wiring board, for surface mounting, Pb containing surface;GLO;printed wiring board, for surface mounting, Pb containing surface
0160d781-bee4-4f25-8ae3-75221efec502_27da8130-82ba-485c-a800-b89efdcb0491.spold;treatment of municipal solid waste, incineration;CA-QC;municipal solid waste
01646cd8-7c01-44a7-93d0-d2e8a1b74598_b153d366-7214-4fc5-ab10-2aa77ee8b715.spold;market for furnace, wood chips, hardwood storage area, 300kW;GLO;furnace, wood chips, hardwood storage area, 300kW
0167a0c5-d9d5-4c39-99e6-13877508bebf_5d0ec026-7937-5ac8-9358-dd2690065dd7.spold;aluminium chloride production;GLO;aluminium chloride
016b3640-a807-4f62-816a-148dbea9da40_925337ba-f57d-4ada-8ef3-41c16179f413.spold;market for steel removed by milling, large parts;GLO;steel removed by milling, large parts
016c0080-33e0-4d0b-bb84-5adbb42afc2b_7cb00a21-30f1-4f9f-b2e4-48ee9170c8d1.spold;catch crop growing, sunflower, August-October, organic fertiliser 30 kg N;RoW;sunflower silage
016e1d40-9b62-4a70-a8ba-ad2b5094bbd1_d19b729a-0fea-4d72-aea9-0a5f0dadaaba.spold;market for photovoltaic plant, 570kWp, multi-Si, on open ground;GLO;photovoltaic plant, 570kWp, multi-Si, on open ground
016e3e25-f6d1-406c-bf13-d998e614efe9_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;PT;electricity, low voltage
016ed35c-0161-4e86-833a-1483d2fad545_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold;market for land tenure, arable land, measured as carbon net primary productivity, forest, intensive;BR-PR;land tenure, arable land, measured as carbon net primary productivity, forest, intensive
016f5fc7-66e6-40b4-9480-f7eaa938bfb4_7513d2f5-d7ee-497b-971b-a5ad34ab5c83.spold;market for waste rubber, unspecified;RoW;waste rubber, unspecified
0174e6b6-04ed-4405-a540-f49f26187cb2_7a660d2e-6d57-4d2f-9332-30ea826cd679.spold;market for butyrolactone;RoW;butyrolactone
01769bf3-97ef-4923-809e-0b5681bb8476_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, annual cropland to annual crop;FR;land tenure, arable land, measured as carbon net primary productivity, annual crop
01781db9-2475-4d74-b03e-a4687ecb5e5e_f8c713b1-b288-4687-94ab-b814cd99f2ee.spold;anhydrite production;CH;anhydrite
017ab22b-9be9-43c0-b82a-3bdfc4f0ad5b_a300dfb2-454a-4bb1-aabc-257cc84994c3.spold;pentane production;RER;pentane
017ade81-a2c6-47fa-b793-2315e85db2b2_b167bcef-715e-4136-a743-2fae79a086d3.spold;market for nylon 6-6;RER;nylon 6-6
017baeab-7434-45f8-acc8-ce5cb44b0d62_4d2b658e-8b37-4bf4-bb23-dcb1601ceb1e.spold;cathode production, for aluminium electrolysis;RoW;cathode, for aluminium electrolysis
017c252f-bc0d-43bd-8d2d-0ff6561d00c5_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat production, wood pellet, at furnace 300kW;CH;heat, central or small-scale, other than natural gas
017e5fe8-a807-4bbf-986d-a1f20c741be4_b20fc078-ade8-44b7-bb6a-eb82066d3f6d.spold;treatment of used printer, laser, by mechanical treatment;GLO;used printer, laser
0180d25d-7f49-42f3-8151-73295fd72369_621aa59e-47e2-4c18-add5-01d226cfde49.spold;treatment of lead smelter slag, residual material landfill;GLO;lead smelter slag
01889f5e-99dd-4ed5-bc35-2bdcc71d72f3_dae141a8-7daa-4f03-a649-b85b718ac65b.spold;market for waste glass;NL;waste glass
018b542a-0326-48de-a807-267ddb7984f9_7184e4fa-479d-43a3-8140-17c80f1dd2fa.spold;napropamide production;RER;napropamide
018c0e64-99ef-42d4-a745-4be1b69cb87a_b14de8f8-490f-40d5-9b13-0d8f7487cf80.spold;explosive production, tovex;CH;explosive, tovex
018e5a08-5d69-44b9-b7be-4640e25dc2e1_4a626f1a-99f1-4d8e-9b80-dfdceb39a782.spold;palm date production, organic;GLO;palm date, organic
01944391-cbd0-4b71-aede-bbc59fc6ed2e_e04720d0-1b18-41bd-b729-93cfc5f862ab.spold;tissue paper production, virgin;GLO;tissue paper
0196a851-8656-4e97-b77c-cde088283294_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;CI;electricity, medium voltage
019c6cd3-0fbb-42e7-ab9d-0176f2c41425_ffcacf17-64fd-441b-a948-d11c3a5d0993.spold;propanal production;RER;propanal
019e2f5c-7acd-4731-a3f8-d7b82a872b05_00478901-732f-4bf4-81cc-2255f9874512.spold;market for waste polypropylene;GB;waste polypropylene
019ea0b3-ec61-45d8-8d4c-5cfcbd17ab06_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;SD;electricity, low voltage
019f127e-6979-489b-970e-4850b8a2bf33_4550c693-37f5-465b-99d1-3f3497380dfb.spold;maintenance, bicycle;RoW;maintenance, bicycle
01a2ffe6-e7e7-4862-8c17-f52afdf6cf52_6ea1f939-c0f6-47bb-8096-167f11dcf99b.spold;cable production, connector for computer, without plugs;GLO;cable, connector for computer, without plugs
01a3a025-a190-4ea2-a533-cd32d08060e8_63bf19bc-8cbc-4d14-906e-abfa110dbb5f.spold;treatment of sulfidic tailings, from gold mine operation, tailings impoundment;RoW;sulfidic tailings, from gold mine operation
01a401ab-1ba7-467a-9c7e-348de84d8aeb_fc610554-63c4-4d89-a480-e91740313aa8.spold;anode refinery construction;RoW;anode refinery
01ad49db-b3f8-4df0-b1e3-1a8333064206_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;IN-Eastern grid;electricity, high voltage
